pais;codigo;superficeTotal;porcenTierras agricolas;porcenPoblacionUrbana;consumoEnergiaElectrica;gastoPublicoEducaci¢n;investigadoresDedicados;PIBperCapita;esperanzaVidaHhombres;esperanzaVidaMujeres,
inicial del dividendo demogr fico;EAR;34108218.05;41.46629644;45.54080566;1151.506066;;318.2317617;;68.70042132;72.39325794,
Asia oriental y el Pac¡fico;EAS;24827743.4;47.78377989;59.88726026;3677.511598;;1622.921926;;73.61050572;78.69815177,
Europa y Asia central (excluido altos ingresos);ECA;23235211.88;27.86409082;67.81762522;4346.436257;4.09250021;1935.155639;;69.72380951;77.64055556,
Europa y Asia central;ECS;28691030.98;29.34098639;72.40935588;5376.539099;4.783239841;3373.029812;;74.86021668;81.14944876,
Ecuador;ECU;256370;22.2096956;63.986;1376.393115;;;6183.823825;74.058;79.645,
Egipto, Rep£blica µrabe de;EGY;1001450;3.750836325;42.73;1683.213518;;686.71743;53017.25435;69.599;74.162
Zona del Euro;EMU;2759787.593;43.03609477;77.21916388;6352.830125;4.939249992;4180.055428;;79.55186717;84.70234017,
Eritrea;ERI;117600;75.16831683;;96.63443405;;;;63.79;68.162,
Espa¤a;ESP;505935;52.57724744;80.565;5355.987006;4.20773983;3000.8872;26441.31509;80.7;86.3,
Estonia;EST;45340;23.07338394;69.051;6732.367473;4.973380089;3755.32912;21191.46609;74;82.7,
Etiop¡a;ETH;1104300;36.259;21.225;69.19875316;;90.52892;24007.68638;64.35;68.165,
Uni¢n Europea;EUU;4140707.593;41.0727094;74.73055441;6021.860983;4.725169897;3994.154854;;78.34889863;83.8671747,
Fr giles y situaciones de conflicto afectados;FCS;16833942.99;32.45904607;44.95006857;467.807318;3.787309885;;;59.74760447;63.24654835,
Finlandia;FIN;338450;7.485768813;85.446;15249.98938;6.376210213;6861.10974;43576.5067;79.1;84.5,
Fiji;FJI;18270;23.26217843;56.75;;;;13342.38999;65.641;69.178,
Francia;FRA;549086.9922;52.44754417;80.709;6939.943525;5.451600075;4715.31913;36172.26495;79.7;85.9,
Islas Feroe;FRO;1396.000061;2.148997041;42.225;;;;405837.4745;80.5;84.7,
Micronesia (Estados Federados de);FSM;700;31.42857143;22.812;;;;3568.291016;66.117;69.454,
Gab¢n;GAB;267670;20.02561416;89.741;1167.852214;;;4550778.591;64.152;68.323,
Reino Unido;GBR;243610;71.71487814;83.652;5130.390253;5.442090034;4603.31022;33163.32359;79.5;83.1,
Georgia;GEO;69700;34.45100014;59.039;2693.97276;3.52105999;1463.77339;13238.60127;69.174;77.989,
Ghana;GHA;238540;68.99885734;56.707;351.301579;3.989439964;89.11206;11489.31776;62.724;64.852,
Gibraltar;GIB;10;;100;5693.106004;;;;;,
Guinea;GIN;245860;59.01025558;36.5;;2.315939903;;8842602.232;60.477;61.666,
Gambia;GMB;11300;59.7826087;61.931;;2.420300007;52.89256;38939.20985;60.362;63.151,
Guinea-Bissau;GNB;36130;57.9658606;43.777;;;;408552.7679;55.965;59.913,
Guinea Ecuatorial;GNQ;28050;10.12477718;72.627;;;;4764583.657;57.41;59.587,
Grecia;GRC;131960;47.60279286;79.388;5062.606422;;3482.71652;17492.61444;79.3;84.4,
Granada;GRD;340;23.52941176;36.396;;3.173799992;;29183.41473;70.064;74.941,
Groenlandia;GRL;410450;0.592301134;87.052;;;;343962.3012;68.8;73,
Guatemala;GTM;108890;35.98357596;51.439;601.1897311;3.212199926;14.07038;35558.64054;71.119;76.937,
Guam;GUM;540;33.33333333;94.859;;;;35712.56214;76.607;83.365,
Guyana;GUY;214970;8.636017272;26.689;;5.493579865;;1378098.77;66.783;72.972,
Ingreso alto;HIC;37468305.51;35.26947388;81.0477557;8928.869815;4.939249992;4350.777413;;78.13491919;83.35037929,
Hong Kong, Regi¢n Administrativa Especial;HKG;1110;4.761904762;100;6083.269936;3.810580015;4026.46326;381713.9089;82.3;87.7
Honduras;HND;112490;28.9123246;57.73;619.8363949;6.06746006;34.68019;63107.23543;72.771;77.378,
Pa¡ses pobres muy endeudados (PPME);HPC;17874796;38.60460719;36.48128141;214.038024;3.547209978;;;61.37883973;64.88917837,
Croacia;HRV;56590;27.59113653;57.242;3714.382988;3.917129993;1921.13136;98915.00049;74.9;81.4,
Hait¡;HTI;27750;66.76342525;56.192;39.05580506;2.780469894;;107061.6602;61.5;65.832,
Hungr¡a;HUN;93030;58.35634596;71.644;3965.958233;4.667099953;3237.70314;4863271.241;72.7;79.6,
S¢lo BIRF;IBD;72945973.91;37.57417036;55.61614168;2406.833862;4.307660103;854.8382676;;71.13927057;75.84265837,
BIRF y la AIF;IBT;95945073.91;38.26993504;50.94866971;1962.963539;4.088590145;725.5736874;;68.98276163;73.29828013,
total de la AIF;IDA;22999100;40.47771046;37.47898029;317.3683965;3.696439981;;;62.59789161;65.93195435,
mezcla de la AIF;IDB;4457950;45.94451832;42.70718233;380.7987557;4.408650041;;;61.01578241;63.34645453,
Indonesia;IDN;1913580;31.46442036;55.985;811.9069049;;215.99355;58508674.98;69.375;73.748,
S¢lo AIF;IDX;18541150;39.15030071;34.82755142;275.974983;3.696439981;;;63.41525576;67.21913955,
Isla de Man;IMN;570;69.82456007;52.735;;;;66786.76689;;,
India;IND;3287259.063;60.44719645;34.472;804.5142281;;252.70392;148855.2737;68.239;70.692,
No clasificado;INX;;;;;;;;;,
Irlanda;IRL;70280;64.53766875;63.405;5672.064134;3.506860018;5243.12624;70265.96477;80.5;84.1,
Ir n, Rep£blica Isl mica del;IRN;1745150;28.21410153;75.391;3022.122563;3.955359936;1474.91351;294432751.4;75.409;77.668
Iraq;IRQ;435051.9922;21.42225296;70.678;1328.230416;;111.13687;7038938.85;68.429;72.486,
Islandia;ISL;103000;18.67331671;93.855;53832.47909;7.658219814;6130.51111;8207889.993;81.3;84.5,
Israel;ISR;22070;24.58410351;92.501;6600.89828;6.092619896;;155385.174;80.9;84.8,
Italia;ITA;301340;43.23451418;70.736;5002.40668;4.044939995;2306.76644;29681.99489;81.2;85.6,
Jamaica;JAM;10990;40.99722992;55.985;1050.732904;5.16918993;;744183.3069;72.787;75.993,
Jordania;JOR;89320;12.00675784;91.203;1864.675855;3.072530031;595.96296;3127.896773;72.73;76.175,
Jap¢n;JPN;377970;12.26409919;91.698;7819.714636;3.182179928;5331.15027;4387298.956;81.25;87.32,
Kazajst n;KAZ;2724901.875;80.37633811;57.54;5600.208465;2.615950108;666.9353;3755692.416;68.84;77.19,
Kenya;KEN;580370;48.54693046;27.507;164.3255487;5.306250095;;185269.62;63.965;68.684,
Kirguist n;KGZ;199950;54.95828989;36.591;1941.221832;6.026189804;;91381.68471;67.4;75.6,
Camboya;KHM;181040;30.90301382;23.805;271.3672582;2.162859917;30.36704;6672960.785;67.312;71.629,
Kiribati;KIR;810;41.97530864;54.835;;;;2380.83091;64.001;72.113,
Saint Kitts y Nevis;KNA;260;23.07692308;30.799;;;;53824.43124;;,
Corea, Rep£blica de;KOR;100339.0039;17.44607064;81.43;10496.51367;4.333099842;7980.39565;37112229.26;79.7;85.7
Kuwait;KWT;17820;8.417508418;100;15590.60413;;513.86021;9715.336155;74.672;76.467,
Am‚rica Latina y el Caribe (excluido altos ingresos);LAC;19386305.98;37.95604704;80.69911798;2088.433043;4.522819996;;;72.07206503;78.44660249,
Rep£blica Democr tica Popular Lao;LAO;236800;10.26429809;35.645;;;;22786808.76;65.838;69.417,
L¡bano;LBN;10450;64.32062561;88.758;2588.30067;;;11785061.6;77.076;80.821,
Liberia;LBR;111370;28.03156146;51.615;;2.584120035;;621.8929536;62.347;65.114,
Libia;LBY;1759540;8.723871012;80.393;1811.05517;;;10744.18848;69.895;75.788,
Santa Luc¡a;LCA;620;17.37704981;18.754;;3.331799984;;31350.82171;74.72;77.434,
Am‚rica Latina y el Caribe;LCN;20425545.98;37.65884159;80.87055803;2157.889324;4.535510063;;;72.28499211;78.61813593,
Pa¡ses menos desarrollados: clasificaci¢n de las Naciones Unidas;LDC;18252610;38.75866648;34.10135081;211.987591;3.696439981;;;63.18256438;66.93452987,
Pa¡ses de ingreso bajo;LIC;12870115;39.60024653;33.31826617;;3.449069977;;;61.59539101;65.41046715,
Liechtenstein;LIE;160;32.24999905;14.371;;;;177393.8275;80.7;85.5,
Sri Lanka;LKA;65610;43.69319088;18.585;531.0905766;2.124209881;105.988;688719.0594;73.415;80.121,
Pa¡ses de ingreso mediano bajo;LMC;22578754.06;43.7144405;39.68586705;749.1384763;3.989439964;288.1706859;;66.78645672;70.1780612,
Ingreso mediano y bajo;LMY;94556893.91;38.26212242;50.84973233;1931.603235;4.073729992;712.567556;;68.92581661;73.20705117,
Lesotho;LSO;30360;77.63504611;28.585;;6.985189915;24.1134;16159.00969;50.582;56.954,
avanzada del dividendo demogr fico;LTE;45769685.86;35.84186183;63.29322773;3709.086048;4.535510063;1485.219178;;73.58782319;79.06433688,
Lituania;LTU;65286.00098;47.15526021;67.855;3821.14517;3.812829971;3190.70248;17509.90368;70.9;80.7,
Luxemburgo;LUX;2590;53.71193591;91.223;13914.67845;3.569590092;4941.70411;102462.8905;80.1;84.6,
Letonia;LVA;64490;31.05500161;68.222;3507.404521;4.397119999;1792.10447;15926.12829;70.1;79.7,
Regi¢n Administrativa Especial de Macao, China;MAC;30.39999962;;100;;2.738699913;3543.20632;678699.9664;81.149;87.051
Isla de San Mart¡n (parte francesa);MAF;54.4;;;;;;;76.7;83.2,
Marruecos;MAR;446550;68.54470087;62.994;904.4421548;;1073.54029;30814.02548;75.19;77.668,
M¢naco;MCO;2;;100;;1.457929969;;157360.0124;;,
Rep£blica de Moldova;MDA;33850;74.21708726;42.726;1725.616479;5.439730167;696.07769;79149.66636;67.53;76.074,
Madagascar;MDG;587295;71.18425576;37.861;;2.825489998;34.04118;1893681.565;65.077;68.301,
Maldivas;MDV;300;26.33333365;40.238;;4.099709988;;163457.0292;77.229;80.499,
Oriente Medio y Norte de µfrica;MEA;11370619.99;33.30202354;65.6787454;2895.900727;;;;72.44130402;75.90954855,
M‚xico;MEX;1964375;54.64955374;80.444;2157.323949;4.522819996;315.2625;191596.4173;72.118;77.844,
Islas Marshall;MHL;180;63.88888889;77.417;;;;3788.163594;;,
 Ingreso mediano;MIC;81686778.91;38.05145163;52.88166197;2044.562632;4.394094944;736.4801009;;69.74919375;74.11093277,
Macedonia del Norte;MKD;25710;50.15860428;58.208;3496.528739;;799.27238;330903.9169;73.684;77.736,
Mal¡;MLI;1240190;33.76605283;43.136;;3.787309885;32.86062;515019.5834;58.137;59.649,
Malta;MLT;320;32.43750036;94.678;4924.544019;4.824379921;1946.50858;26638.74488;80.4;84.6,
Myanmar;MMR;676590;19.53818828;30.852;215.2988954;1.93208003;29.07319;2157047.008;63.761;69.874,
Oriente Medio y Norte de µfrica (excluido altos ingresos);MNA;8775231.992;22.8619763;61.90340037;1702.842259;;857.6889477;;71.76187748;75.5157284,
Montenegro;MNE;13810;18.95910781;67.15;4612.34139;;734.29976;7957.599371;74.317;79.199,
Mongolia;MNG;1564120;71.48884055;68.543;2006.388881;4.088590145;;11559352.24;65.631;73.961,
Mariana;MNP;460;6.52173913;91.708;;;;23258.67586;;,
Mozambique;MOZ;786380;63.51890943;36.528;478.9211723;5.499849796;42.96538;31508.42325;57.114;62.966,
Mauritania;MRT;1030700;38.52818473;54.507;;1.89546001;;61620.17595;63.082;66.292,
Mauricio;MUS;2040;42.36453202;40.766;2182.509156;4.719349861;473.85267;393728.9002;71.27;77.72,
Malawi;MWI;118480;61.4128129;17.174;;4.714839935;;306990.2662;60.651;66.937,
Malasia;MYS;330345;26.25779942;76.607;4651.958734;4.163189888;2396.53998;47283.3524;74.075;78.167,
Am‚rica del Norte;NAC;19820470;25.68577441;82.36168943;13257.01827;;4403.662214;;76.48804032;81.40493674,
Namibia;NAM;824290;47.13891824;51.042;1652.569026;;;71627.33938;60.357;66.18,
Nueva Caledonia;NCL;18580;10.07877492;71.104;;;;;75.1;79.3,
N¡ger;NER;1267000;36.0637878;16.517;51.19500844;3.547209978;;324533.2029;60.9;63.212,
Nigeria;NGA;923770;77.73642083;51.157;144.5254622;;;724704.0763;53.45;55.244,
Nicaragua;NIC;130370;42.08908094;58.76;568.3138108;4.357679844;;63358.62398;70.741;77.77,
Pa¡ses Bajos;NLD;41540;53.30958741;91.876;6712.774758;5.17509985;5604.5408;46746.32273;80.3;83.4,
Noruega;NOR;625217.1094;2.694078329;82.616;22999.9346;7.911980152;6466.70021;663692.7868;81.1;84.5,
Nepal;NPL;147180;28.74782002;20.153;146.4678648;5.102069855;;120899.9956;68.989;71.9,
Nauru;NRU;20;20.0000003;100;;;;13138.86019;;,
Nueva Zelandia;NZL;267710;40.45041966;86.615;9026.321041;6.283669949;5529.5219;63878.78788;80.2;83.6,
Miembros OCDE;OED;37711928.09;34.49693941;80.80502019;7771.139185;4.994495153;4078.696048;;77.4904747;82.75981631,
Om n;OMN;309500;4.639741519;85.443;6445.573417;;281.16111;5899.407341;75.89;80.134,
Otros Estados pequeos;OSS;2072942.999;40.47077902;62.59724425;;5.02312994;;;67.06427104;70.20863464,
Pakist n;PAK;796100;47.7947281;36.907;447.5010026;2.89951992;335.58065;175338.8324;66.194;68.109,
Panam ;PAN;75420;30.36050578;68.059;2064.175797;;;15731.01603;75.235;81.593,
Per£;PER;1285220;18.50546875;78.099;1345.879589;3.847290039;;23286.66414;73.834;79.28,
Filipinas;PHL;300000;41.72116578;47.149;696.3467801;;105.68078;180512.6647;67.123;75.387,
Palau;PLW;460;10.86956522;80.47;;;;14901.98353;;,
Papua Nueva Guinea;PNG;462840;2.627743674;13.25;;1.930889964;35.48821;9583.814422;63.039;65.576,
Polonia;POL;312680;46.94470753;60.037;3971.799761;4.559569836;3106.1196;60249.81147;73.7;81.7,
previa al dividendo demogr fico;PRE;18149307.99;41.32480693;41.77645394;256.273407;3.696439981;;;59.19608648;62.45492021,
Puerto Rico;PRI;8870;22.28861296;93.576;;;348.36426;32873.71927;76.346;83.382,
Corea, Rep£blica Popular Democr tica de;PRK;120540;21.8420397;62.134;601.6900479;;;;68.435;75.549
Portugal;PRT;92225.5957;39.4529404;65.764;4662.6008;5.015610218;4537.53162;20770.5118;78.3;84.5,
Paraguay;PRY;406751.9922;55.08431915;61.879;1552.384217;3.438339949;135.13787;33792256.65;72.159;76.25,
Ribera Occidental y Gaza;PSE;6020;49.32226137;76.44;;5.25233984;;3640.893466;72.263;75.595,
Estados pequeos de las Islas del Pacfico;PSS;65150;13.4376947;39.03839067;;;;;68.12673521;71.8748223,
posterior al dividendo demogr fico;PST;33539743.51;33.73224727;81.46615246;8900.410845;5.069930077;4424.072745;;78.09891144;83.3678766,
Polinesia Francesa;PYF;4000;12.43169399;61.897;;;;;75.401;79.725,
Qatar;QAT;11610;5.770887166;99.188;14781.64833;2.695349932;577.34853;226000.5451;78.981;81.876,
Rumania;ROU;238400;58.76651599;54.084;2584.411787;3.095390081;882.44127;54751.67468;71.7;79.2,
Federaci¢n de Rusia;RUS;17098250;13.29447034;74.587;6602.657525;4.689909935;2784.33237;749985.9556;67.75;77.81,
Rwanda;RWA;26340;73.43737135;17.313;;3.073750019;13.86086;737578.5918;66.518;70.784,
Asia meridional;SAS;5135333.062;56.80628778;34.43189736;705.3184354;3.47919488;252.70392;;68.17590455;70.76419805,
Arabia Saudita;SAU;2149690;80.76466839;84.065;9401.366769;;;86774.24496;73.799;76.615,
Sud n;SDN;;;34.936;256.7562426;;;26699.83061;63.277;66.947,
Senegal;SEN;196710;46.06035423;47.653;229.3517951;4.833280087;564.33948;847714.1775;65.501;69.627,
Singapur;SGP;719.0000153;0.930888592;100;8844.687593;;6802.53716;88991.2439;81;85.4,
Islas Salom¢n;SLB;28900;3.8585209;24.21;;;;19400.64763;71.158;74.697,
Sierra Leona;SLE;72300;54.71044611;42.484;;7.702280045;;4753194.684;53.468;55.106,
El Salvador;SLV;21040;76.44787645;72.746;937.0738768;3.592420101;63.71196;4187.250031;68.229;77.635,
San Marino;SMR;60;16.66666667;97.368;;3.592859983;;41489.08625;;,
Somalia;SOM;637660;70.33665955;45.554;;;;;55.41;58.791,
Serbia;SRB;88360;39.33226618;56.26;4271.744667;3.585390091;2087.21892;780092.7865;73.5;78.4,
µfrica al sur del Sahara (excluido altos ingresos);SSA;21751956;43.68670599;40.71126911;484.5441524;3.989439964;;;59.50491336;63.02186804,
Sud n del Sur;SSD;;;19.899;43.58172421;1.543900013;;;56.115;59.135,
µfrica al sur del Sahara;SSF;21754456;43.68570657;40.71277872;487.3277069;4.303765059;;;59.51942109;63.04052743,
Peque¤os Estados;SST;2573082.999;34.23994727;59.15908639;;5.141875029;;;67.86952806;71.39044811,
Santo Tom‚ y Pr¡ncipe;STP;960;50.72916746;73.598;;5.149069786;;42921.35819;67.783;72.583,
Suriname;SUR;163820;0.557692308;66.095;3596.745217;;;47431.6391;68.368;74.937,
Rep£blica Eslovaca;SVK;49030;39.22628952;53.729;5137.073835;3.939130068;2995.95783;17210.10647;73.9;80.8,
Eslovenia;SVN;20675;30.65633976;54.822;6727.999302;4.783239841;4854.56751;23177.10851;78.5;84.4,
Suecia;SWE;447430;7.442734036;87.708;13480.14822;7.568830013;7536.47495;488192.8876;80.9;84.3,
Eswatini;SWZ;17360;71.04651163;23.981;;;142.34351;56278.12321;55.284;63.968,
Sint Maarten (Dutch part);SXM;34;;100;;;;52196.58582;74;82.8,
Seychelles;SYC;460;3.369565114;57.119;;4.421020031;;244860.3012;68.5;77.4,
Rep£blica µrabe Siria;SYR;185180;75.81005282;54.821;974.3171391;;90.95754;;66.578;77.763,
Islas Turcas y Caicos;TCA;950;1.052631579;93.36;;2.914350033;;31353.32932;;,
